size;algo;time
10;sorted();1.9073486328125e-06
10;customizedInsertionSort();7.867813110351562e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();6.198883056640625e-06
10;sorted();7.152557373046875e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();0.0
10;customizedInsertionSort();5.9604644775390625e-06
10;sorted();7.152557373046875e-07
10;customizedInsertionSort();6.198883056640625e-06
10;sorted();7.152557373046875e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();0.0
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.9604644775390625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();0.0
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.0531158447265625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.0531158447265625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.0531158447265625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();0.0
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();4.0531158447265625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();0.0
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();7.152557373046875e-07
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.0531158447265625e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();0.0
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();7.152557373046875e-07
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.0531158447265625e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();0.0
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();3.814697265625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();3.814697265625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();1.8835067749023438e-05
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();3.814697265625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();0.0
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.0531158447265625e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();0.0
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();0.0
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();0.0
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();7.152557373046875e-07
10;customizedInsertionSort();4.0531158447265625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();0.0
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();0.0
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();3.814697265625e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.245208740234375e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();9.5367431640625e-07
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();5.0067901611328125e-06
10;sorted();0.0
10;customizedInsertionSort();4.76837158203125e-06
10;sorted();1.1920928955078125e-06
10;customizedInsertionSort();4.291534423828125e-06
100;sorted();1.0013580322265625e-05
100;customizedInsertionSort();0.00015091896057128906
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015497207641601562
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00016188621520996094
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015211105346679688
100;sorted();9.298324584960938e-06
100;customizedInsertionSort();0.0001552104949951172
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015687942504882812
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.00015306472778320312
100;sorted();8.344650268554688e-06
100;customizedInsertionSort();0.0001590251922607422
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015592575073242188
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.00015783309936523438
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015282630920410156
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015687942504882812
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001556873321533203
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015592575073242188
100;sorted();8.344650268554688e-06
100;customizedInsertionSort();0.0001571178436279297
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015592575073242188
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001571178436279297
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.0001571178436279297
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001552104949951172
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015807151794433594
100;sorted();8.344650268554688e-06
100;customizedInsertionSort();0.0001590251922607422
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.00015687942504882812
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015282630920410156
100;sorted();9.298324584960938e-06
100;customizedInsertionSort();0.00015401840209960938
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.00015783309936523438
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015807151794433594
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015807151794433594
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015687942504882812
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.00015592575073242188
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015807151794433594
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015211105346679688
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.0002529621124267578
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015687942504882812
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015592575073242188
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00019288063049316406
100;sorted();1.0013580322265625e-05
100;customizedInsertionSort();0.00015878677368164062
100;sorted();1.0013580322265625e-05
100;customizedInsertionSort();0.00015783309936523438
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015616416931152344
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.0001499652862548828
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.00015306472778320312
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015401840209960938
100;sorted();8.344650268554688e-06
100;customizedInsertionSort();0.00015926361083984375
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015497207641601562
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015592575073242188
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001556873321533203
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015211105346679688
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.0001499652862548828
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015783309936523438
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001556873321533203
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.00015735626220703125
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015592575073242188
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015497207641601562
100;sorted();8.344650268554688e-06
100;customizedInsertionSort();0.00015401840209960938
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015306472778320312
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001556873321533203
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.00015997886657714844
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001537799835205078
100;sorted();9.298324584960938e-06
100;customizedInsertionSort();0.0001571178436279297
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015783309936523438
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.0001609325408935547
100;sorted();8.344650268554688e-06
100;customizedInsertionSort();0.00015306472778320312
100;sorted();9.298324584960938e-06
100;customizedInsertionSort();0.00015616416931152344
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015997886657714844
100;sorted();9.298324584960938e-06
100;customizedInsertionSort();0.00015091896057128906
100;sorted();9.298324584960938e-06
100;customizedInsertionSort();0.00015616416931152344
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001537799835205078
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.0001506805419921875
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001571178436279297
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015473365783691406
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015687942504882812
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015091896057128906
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015306472778320312
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015306472778320312
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015807151794433594
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015425682067871094
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015687942504882812
100;sorted();9.298324584960938e-06
100;customizedInsertionSort();0.00015401840209960938
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015306472778320312
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015306472778320312
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.0001609325408935547
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015306472778320312
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015401840209960938
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015211105346679688
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.0001571178436279297
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.00015687942504882812
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.0001552104949951172
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015687942504882812
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.0001583099365234375
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00015592575073242188
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.0001571178436279297
100;sorted();8.106231689453125e-06
100;customizedInsertionSort();0.00016570091247558594
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.0001480579376220703
100;sorted();1.0013580322265625e-05
100;customizedInsertionSort();0.00015616416931152344
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.00014901161193847656
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001480579376220703
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.0001537799835205078
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015091896057128906
100;sorted();9.059906005859375e-06
100;customizedInsertionSort();0.0001468658447265625
100;sorted();7.867813110351562e-06
100;customizedInsertionSort();0.0001480579376220703
100;sorted();8.821487426757812e-06
100;customizedInsertionSort();0.00015115737915039062
1000;sorted();0.00011491775512695312
1000;customizedInsertionSort();0.011950969696044922
1000;sorted();0.00010919570922851562
1000;customizedInsertionSort();0.011445045471191406
1000;sorted();0.00010704994201660156
1000;customizedInsertionSort();0.011249065399169922
1000;sorted();0.00010180473327636719
